Bar Name,Brand Name,Alcohol Type,Current Stock (ml),Predicted Daily Demand (ml),Demand Std Dev (ml),Safety Stock (ml),Par Level (ml),Recommended Order (ml),Status,Overstock Flag
Brown's Bar,Malibu,Rum,0.0,61.93,190.49,443.16,567.03,567.03,Stockout Emergency,False
Brown's Bar,Yellow Tail,Wine,0.0,125.84,118.08,274.71,526.39,526.39,Stockout Emergency,False
Brown's Bar,Smirnoff,Vodka,0.0,81.65,147.19,342.42,505.73,505.73,Stockout Emergency,False
Johnson's Bar,Yellow Tail,Wine,0.0,120.17,106.57,247.92,488.27,488.27,Stockout Emergency,False
Johnson's Bar,Jameson,Whiskey,0.0,58.37,137.81,320.61,437.35,437.35,Stockout Emergency,False
Anderson's Bar,Grey Goose,Vodka,0.0,74.79,108.2,251.71,401.29,401.29,Stockout Emergency,False
Brown's Bar,Budweiser,Beer,0.0,41.98,123.42,287.11,371.07,371.07,Stockout Emergency,False
Anderson's Bar,Absolut,Vodka,0.0,53.56,49.84,115.94,223.06,223.06,Stockout Emergency,False
Brown's Bar,Grey Goose,Vodka,0.0,68.49,21.54,50.11,187.09,187.09,Stockout Emergency,False
Taylor's Bar,Sutter Home,Wine,0.0,85.07,0.0,0.0,170.15,170.15,Stockout Emergency,False
Anderson's Bar,Miller,Beer,0.0,50.35,7.68,17.86,118.56,118.56,Stockout Emergency,False
Johnson's Bar,Miller,Beer,0.0,56.77,0.0,0.0,113.54,113.54,Stockout Emergency,False
Taylor's Bar,Miller,Beer,0.0,11.16,0.0,0.0,22.32,22.32,Stockout Emergency,False
Anderson's Bar,Budweiser,Beer,0.0,11.08,0.0,0.0,22.16,22.16,Stockout Emergency,False
Anderson's Bar,Bacardi,Rum,108.62,53.6,234.38,545.26,652.47,543.85,Urgent Reorder,False
Brown's Bar,Coors,Beer,361.53,60.46,275.23,640.28,761.2,399.67,Urgent Reorder,False
Thomas's Bar,Heineken,Beer,146.87,31.68,175.36,407.96,471.33,324.46,Urgent Reorder,False
Anderson's Bar,Heineken,Beer,181.96,41.74,179.66,417.96,501.44,319.48,Urgent Reorder,False
Smith's Bar,Malibu,Rum,336.3,51.51,211.58,492.23,595.24,258.94,Urgent Reorder,False
Smith's Bar,Bacardi,Rum,281.0,55.92,130.17,302.82,414.67,133.67,Urgent Reorder,False
Smith's Bar,Miller,Beer,301.48,53.21,116.88,271.9,378.33,76.85,Reorder Needed,False
Brown's Bar,Jack Daniels,Whiskey,440.65,55.25,137.05,318.83,429.33,0.0,Adequate Stock,False
Smith's Bar,Heineken,Beer,391.35,46.73,86.27,200.7,294.16,0.0,Adequate Stock,False
Thomas's Bar,Barefoot,Wine,668.19,50.44,163.98,381.48,482.36,0.0,Adequate Stock,False
Anderson's Bar,Barefoot,Wine,7321.34,52.09,93.21,216.84,321.02,0.0,Overstocked,True
Anderson's Bar,Captain Morgan,Rum,8383.2,68.64,103.56,240.93,378.21,0.0,Overstocked,True
Anderson's Bar,Coors,Beer,2146.02,83.28,134.1,311.96,478.53,0.0,Overstocked,True
Anderson's Bar,Jack Daniels,Whiskey,3995.06,66.41,119.25,277.43,410.24,0.0,Overstocked,True
Anderson's Bar,Jameson,Whiskey,2688.37,49.12,138.63,322.5,420.74,0.0,Overstocked,True
Anderson's Bar,Jim Beam,Whiskey,4518.52,64.14,241.49,561.79,690.06,0.0,Overstocked,True
Anderson's Bar,Malibu,Rum,1568.59,12.67,0.0,0.0,25.34,0.0,Overstocked,True
Anderson's Bar,Smirnoff,Vodka,8085.31,85.54,108.43,252.25,423.32,0.0,Overstocked,True
Anderson's Bar,Sutter Home,Wine,6044.49,47.3,147.28,342.64,437.24,0.0,Overstocked,True
Anderson's Bar,Yellow Tail,Wine,628.65,116.1,71.23,165.7,397.89,0.0,Overstocked,True
Brown's Bar,Absolut,Vodka,2843.64,68.04,107.86,250.93,387.01,0.0,Overstocked,True
Brown's Bar,Bacardi,Rum,6088.51,57.43,141.0,328.02,442.87,0.0,Overstocked,True
Brown's Bar,Barefoot,Wine,8542.65,63.78,111.29,258.91,386.47,0.0,Overstocked,True
Brown's Bar,Captain Morgan,Rum,1663.43,67.83,139.99,325.67,461.33,0.0,Overstocked,True
Brown's Bar,Heineken,Beer,1770.22,42.02,0.0,0.0,84.05,0.0,Overstocked,True
Brown's Bar,Jameson,Whiskey,6474.53,58.36,256.2,596.02,712.75,0.0,Overstocked,True
Brown's Bar,Jim Beam,Whiskey,722.29,77.42,106.64,248.09,402.92,0.0,Overstocked,True
Brown's Bar,Miller,Beer,1298.84,49.11,0.0,0.0,98.22,0.0,Overstocked,True
Brown's Bar,Sutter Home,Wine,3763.86,42.42,0.0,0.0,84.83,0.0,Overstocked,True
Johnson's Bar,Absolut,Vodka,4996.77,63.4,0.0,0.0,126.81,0.0,Overstocked,True
Johnson's Bar,Bacardi,Rum,875.28,52.92,158.72,369.25,475.08,0.0,Overstocked,True
Johnson's Bar,Barefoot,Wine,5439.06,55.58,122.88,285.87,397.03,0.0,Overstocked,True
Johnson's Bar,Budweiser,Beer,4938.34,50.0,190.14,442.33,542.32,0.0,Overstocked,True
Johnson's Bar,Captain Morgan,Rum,1405.82,74.67,97.21,226.15,375.49,0.0,Overstocked,True
Johnson's Bar,Coors,Beer,3671.96,41.89,158.9,369.66,453.44,0.0,Overstocked,True
Johnson's Bar,Grey Goose,Vodka,4141.25,65.58,188.28,438.0,569.17,0.0,Overstocked,True
Johnson's Bar,Heineken,Beer,5286.16,39.85,217.25,505.41,585.11,0.0,Overstocked,True
Johnson's Bar,Jack Daniels,Whiskey,3640.2,60.4,215.66,501.72,622.51,0.0,Overstocked,True
Johnson's Bar,Jim Beam,Whiskey,5554.79,64.2,82.75,192.51,320.91,0.0,Overstocked,True
Johnson's Bar,Malibu,Rum,2965.47,52.37,122.75,285.56,390.3,0.0,Overstocked,True
Johnson's Bar,Smirnoff,Vodka,1046.11,78.17,86.93,202.22,358.56,0.0,Overstocked,True
Johnson's Bar,Sutter Home,Wine,3951.47,60.9,57.74,134.33,256.13,0.0,Overstocked,True
Smith's Bar,Absolut,Vodka,4225.48,69.67,179.54,417.67,557.01,0.0,Overstocked,True
Smith's Bar,Barefoot,Wine,2094.14,49.01,142.32,331.1,429.12,0.0,Overstocked,True
Smith's Bar,Budweiser,Beer,3756.05,35.66,155.22,361.11,432.44,0.0,Overstocked,True
Smith's Bar,Captain Morgan,Rum,1022.31,45.85,27.42,63.79,155.5,0.0,Overstocked,True
Smith's Bar,Coors,Beer,2058.18,36.35,148.74,346.03,418.73,0.0,Overstocked,True
Smith's Bar,Grey Goose,Vodka,3361.2,76.44,180.05,418.87,571.75,0.0,Overstocked,True
Smith's Bar,Jack Daniels,Whiskey,998.4,57.6,55.7,129.59,244.79,0.0,Overstocked,True
Smith's Bar,Jameson,Whiskey,5863.51,51.97,160.17,372.62,476.57,0.0,Overstocked,True
Smith's Bar,Jim Beam,Whiskey,5605.13,73.53,34.77,80.9,227.95,0.0,Overstocked,True
Smith's Bar,Smirnoff,Vodka,1287.96,70.96,150.4,349.89,491.82,0.0,Overstocked,True
Smith's Bar,Sutter Home,Wine,6641.94,56.98,142.51,331.52,445.49,0.0,Overstocked,True
Smith's Bar,Yellow Tail,Wine,5329.32,116.21,0.0,0.0,232.42,0.0,Overstocked,True
Taylor's Bar,Absolut,Vodka,1353.89,64.08,135.52,315.28,443.43,0.0,Overstocked,True
Taylor's Bar,Bacardi,Rum,693.77,56.45,0.0,0.0,112.91,0.0,Overstocked,True
Taylor's Bar,Barefoot,Wine,10850.79,52.31,44.15,102.7,207.33,0.0,Overstocked,True
Taylor's Bar,Budweiser,Beer,1641.29,46.91,89.59,208.42,302.25,0.0,Overstocked,True
Taylor's Bar,Captain Morgan,Rum,7385.19,73.96,81.31,189.16,337.08,0.0,Overstocked,True
Taylor's Bar,Coors,Beer,8367.55,41.51,178.23,414.64,497.67,0.0,Overstocked,True
Taylor's Bar,Grey Goose,Vodka,3085.31,71.66,0.0,0.0,143.32,0.0,Overstocked,True
Taylor's Bar,Heineken,Beer,8657.85,35.02,0.0,0.0,70.04,0.0,Overstocked,True
Taylor's Bar,Jack Daniels,Whiskey,3067.89,52.7,158.95,369.77,475.18,0.0,Overstocked,True
Taylor's Bar,Jameson,Whiskey,1546.81,55.89,42.28,98.35,210.13,0.0,Overstocked,True
Taylor's Bar,Jim Beam,Whiskey,2195.87,83.84,147.19,342.41,510.1,0.0,Overstocked,True
Taylor's Bar,Malibu,Rum,1806.52,47.06,189.11,439.95,534.06,0.0,Overstocked,True
Taylor's Bar,Smirnoff,Vodka,2705.53,75.97,182.72,425.09,577.02,0.0,Overstocked,True
Taylor's Bar,Yellow Tail,Wine,1487.16,127.0,92.73,215.73,469.72,0.0,Overstocked,True
Thomas's Bar,Absolut,Vodka,2296.43,53.74,32.03,74.52,181.99,0.0,Overstocked,True
Thomas's Bar,Bacardi,Rum,2401.21,53.01,79.66,185.33,291.35,0.0,Overstocked,True
Thomas's Bar,Budweiser,Beer,3436.72,38.24,93.84,218.3,294.78,0.0,Overstocked,True
Thomas's Bar,Captain Morgan,Rum,5400.49,63.49,33.12,77.06,204.03,0.0,Overstocked,True
Thomas's Bar,Coors,Beer,2314.81,30.63,142.64,331.84,393.1,0.0,Overstocked,True
Thomas's Bar,Grey Goose,Vodka,4810.55,74.51,230.29,535.73,684.75,0.0,Overstocked,True
Thomas's Bar,Jack Daniels,Whiskey,6263.56,57.85,121.07,281.65,397.35,0.0,Overstocked,True
Thomas's Bar,Jameson,Whiskey,871.56,19.84,165.4,384.78,424.46,0.0,Overstocked,True
Thomas's Bar,Jim Beam,Whiskey,1809.68,94.17,82.7,192.39,380.73,0.0,Overstocked,True
Thomas's Bar,Malibu,Rum,4622.11,54.42,150.88,350.99,459.82,0.0,Overstocked,True
Thomas's Bar,Miller,Beer,1734.63,45.07,146.79,341.49,431.64,0.0,Overstocked,True
Thomas's Bar,Smirnoff,Vodka,4758.09,61.79,142.3,331.04,454.63,0.0,Overstocked,True
Thomas's Bar,Sutter Home,Wine,933.19,42.05,29.49,68.62,152.72,0.0,Overstocked,True
Thomas's Bar,Yellow Tail,Wine,2389.47,112.76,181.08,421.26,646.78,0.0,Overstocked,True
